SchoolCode,GPAcoef,SATcoef,Intercept,Weight,College
B:100654,6.53682655,0.02871204,-36.195392,1,Alabama A & M University (HBCU)
B:100724,2.99142044,0.0040867,-8.6473132,1,Alabama State University (HBCU)
B:144740,3.255046,-0.000017,-8.711165,1,DePaul University
B:102234,4.14755674,0.05822713,-69.306681,1,Spring Hill College
B:102377,3.26553177,0.01733066,-22.505994,1,Tuskegee University (HBCU)
B:112260,2.28398036,0.0021832,-12.322287,1,Claremont McKenna College
B:113698,6.4915613,0.00144846,-19.476632,1,Dominican University of California
B:117946,3.25156912,0.03651702,-50.255576,1,Loyola Marymount University
B:120254,7.635207,0.03120067,-67.610433,1,Occidental College
B:121345,2.90579736,0.00409048,-17.403691,1,Pomona College
B:122612,4.77091002,0.01830799,-35.592279,1,University of San Francisco
B:123961,3.91651882,0.01094225,-30.223015,1,University of Southern California
B:126678,1.20117434,0.00205461,-7.8698178,1,Colorado College
B:126818,1.58244239,0.01297444,-17.6327,1,Colorado State University-Fort Collins
B:127060,4.01602698,0.01608996,-32.087119,1,University of Denver
B:130590,2.61296632,0.0009493,-12.128901,1,Trinity College
B:131469,2.55941088,0.00139164,-10.53775,1,George Washington University
B:131496,4.5845389,0.01242928,-34.799834,1,Georgetown University
B:131520,2.12212528,0.0086207,-16.302348,1,Howard University (HBCU)
B:132471,5.60650159,0.01677415,-26.816082,1,Barry University
B:133650,0.65030842,0.01977585,-21.805297,1,Florida Agricultural and Mechanical University (HBCU)
B:134945,8.00819271,0.01069717,-30.07806,1,Jacksonville University
B:135726,5.3036077,0.01109264,-31.916909,1,University of Miami
B:137847,1.18837588,0.00940429,-12.392685,1,The University of Tampa
B:138600,3.10244803,0.00590778,-15.829328,1,Agnes Scott College (Female only)
B:138947,3.85953174,0.00693423,-15.660576,1,Clark Atlanta University (HBCU)
B:139658,4.69266398,0.01230382,-33.598294,1,Emory University
B:139940,1.4785783,0.0021951,-4.979273,1,Georgia State University
B:140553,3.84123921,0.01155562,-19.859101,1,"Morehouse College (HBCU, Male only)"
B:143084,5.82834743,0.00622234,-22.831301,1,Augustana College
B:143118,3.18627451,0.02833192,-35.04259,1,Aurora University
B:143288,8.57779034,0.01760315,-38.312522,1,Blackburn College
B:143358,4.33750289,0.0026181,-14.564916,1,Bradley University
B:144005,2.48502788,0.0074189,-11.197678,1,Chicago State University
B:144050,1.57103447,0.00357345,-11.255838,1,University of Chicago
B:144281,5.16632896,0.00283274,-13.736706,1,Columbia College Chicago
B:144351,2.60024436,0.00980632,-14.675884,1,Concordia University-Chicago
B:144962,4.07199321,0.0143232,-23.198011,1,Elmhurst College
B:145336,3.85244844,0.00677899,-14.029798,1,Governors State University
B:145646,3.79229212,0.00819304,-20.288821,1,Illinois Wesleyan University
B:145691,6.27268092,0.01073135,-27.113932,1,Illinois College
B:146427,5.73487336,0.01325122,-32.009366,1,Knox College
B:146481,5.64397186,0.01175939,-31.006442,1,Lake Forest College
B:146612,4.13496605,0.01114636,-20.977389,1,Lewis University
B:146676,3.93214613,0.01127369,-16.830745,1,Lincoln College
B:147013,5.00282173,0.01469858,-26.601789,1,McKendree University
B:147244,5.00040963,0.01060167,-21.466193,1,Millikin University
B:147341,6.11342628,0.00897116,-24.207918,1,Monmouth College
B:147536,5.14665079,0.00069411,-8.465402,1,National Louis University
B:147660,3.36663186,0.00711383,-16.127918,1,North Central College
B:147679,4.36980622,0.00865269,-18.07051,1,North Park University
B:147703,3.52031809,0.0035954,-11.381879,1,Northern Illinois University
B:147767,1.66192655,0.00500355,-13.737593,1,Northwestern University
B:147776,4.5386481,0.00948848,-17.317695,1,Northeastern Illinois University
B:148131,4.22629229,0.0337092,-39.983474,1,Quincy University
B:148405,5.96244984,0.01260798,-25.586481,1,Rockford University
B:148487,1.66868263,0.00726917,-9.8489384,1,Roosevelt University
B:148496,4.52905857,0.01015742,-21.147392,1,Dominican University
B:148584,7.41772989,0.01588041,-35.258577,1,University of St Francis
B:148627,4.02140636,0.00701234,-15.813347,1,Saint Xavier University
B:149222,2.18166689,0.00701911,-10.925375,1,Southern Illinois University-Carbondale
B:149231,2.89324189,0.0108986,-16.441932,1,Southern Illinois University-Edwardsville
B:149505,6.14654329,0.01610249,-30.713951,1,Trinity Christian College
